Year,Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Player_Link
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79H8/D,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4975/86H1,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*2H/D,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D2/7H,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2H/D,
2025,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*7/H9D,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*2/HD,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3D/H,
2025,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2HD,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*2/HD,
2025,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/D,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*7H/9D54,
2025,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87/HD9,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*978H/D,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5D/H,
2025,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6854/H,
2025,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*5/H4,
2025,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/DH,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2H/D,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/HD,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2DH,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54H/D,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/DH,
2025,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7HD,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9D4H/57,
2025,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*789/HD,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*87H/9,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3DH,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458H96/7D,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/HD,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9H/D,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*6/4H,
2025,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7D/H,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*2H,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/DH,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3H/4D,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*8/H,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*98H7/D,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/DH,
2025,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2DH,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54D/H3,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74658H/39,
2025,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/HD,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9D/H,
2025,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54H/3D,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23HD,
2025,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*2/34,
2025,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5H,
2025,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2DH3,
2025,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34H79/18D,
2025,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9D/H,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98/H7D,
2025,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64/H,
2025,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/H,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485/HD,
2025,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3DH,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6534/H1D,
2025,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/D,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6954H7/D81,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46/H,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2D/H,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*8H/D,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87/9HD,
2025,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95/H8D,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3D/H,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54D/H,
2025,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97D/H,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453/H6D,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/HD4,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89H7/D,
2025,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465HD/7,
2025,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574H86/13D,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2D/H,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34H/D5,
2025,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*8H/79,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57DH/39,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2H/D,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/HD,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/DH,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2H/D,
2025,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89H7/D,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/HD,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/5H,
2025,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DH/79,
2025,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7895H46,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54H7/93D6,
2025,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/HD,
2025,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2D/H,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*6H,
2025,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*879H/D,
2025,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98/D,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97H/D8,
2025,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456H/13,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/H45D,
2025,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9D/H,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3H/D1,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/DH,
2025,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DH/39,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7HD/94,
2025,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97D/H,
2025,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/D1H,
2025,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4D3H65/1,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*87H9/4,
2025,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2D/H7,
2025,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465/HD,
2025,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/H,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7D9H,
2025,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/DH5,
2025,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD97/8,
2025,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2DH,
2025,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5H/D,
2025,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D3H,
2025,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/H3D,
2025,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65/H,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35/H1,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/HD,
2025,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2H,
2025,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2H/1D3,
2025,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D9H/7,
2025,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/HD,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47/HD,
2025,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/H,
2025,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/HD,
2025,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97H/D83,
2025,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9H/D,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/H,
2025,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54/H78D,
2025,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5H346/1D,
